state,date,fips,cases,deaths,state_code,test
Washington,2020-02-21,53,1,0,WA,0.8492561102770377
Wisconsin,2020-02-21,55,1,0,WI,0.6006377472474016
Arizona,2020-02-22,4,1,0,AZ,0.9524850047920237
California,2020-02-22,6,9,0,CA,0.4668025768068077
Illinois,2020-02-22,17,2,0,IL,0.8647975472526183
Massachusetts,2020-02-22,25,1,0,MA,0.48918291901703825
Nebraska,2020-02-22,31,11,0,NE,0.6644749147598414
Texas,2020-02-22,48,4,0,TX,0.6685628856554917
Washington,2020-02-22,53,1,0,WA,0.018149759542798627
Wisconsin,2020-02-22,55,1,0,WI,0.8911661567313981
Arizona,2020-02-23,4,1,0,AZ,0.16954021741259417
California,2020-02-23,6,9,0,CA,0.8838330454763271
Illinois,2020-02-23,17,2,0,IL,0.7960722053297866
Massachusetts,2020-02-23,25,1,0,MA,0.3908516739631662
Nebraska,2020-02-23,31,11,0,NE,0.5052903046591578
Texas,2020-02-23,48,4,0,TX,0.7451843937956888
Washington,2020-02-23,53,1,0,WA,0.006711169526781302
Wisconsin,2020-02-23,55,1,0,WI,0.5282018179265613
Arizona,2020-02-24,4,1,0,AZ,0.9614671774393637
California,2020-02-24,6,11,0,CA,0.659779847311133
Illinois,2020-02-24,17,2,0,IL,0.03855368367930756
Massachusetts,2020-02-24,25,1,0,MA,0.9745020004654131
Nebraska,2020-02-24,31,12,0,NE,0.5425154745438464
Texas,2020-02-24,48,10,0,TX,0.5029806293484183
Washington,2020-02-24,53,5,0,WA,0.9305637658809472
Wisconsin,2020-02-24,55,1,0,WI,0.05953745184099546
Arizona,2020-02-25,4,1,0,AZ,0.005195423594125059
California,2020-02-25,6,11,0,CA,0.4705744257847939
Illinois,2020-02-25,17,2,0,IL,0.5818602842666435
Massachusetts,2020-02-25,25,1,0,MA,0.2523592920919444
Nebraska,2020-02-25,31,13,0,NE,0.8172939909922362
Texas,2020-02-25,48,10,0,TX,0.16456096374806128
Utah,2020-02-25,49,1,0,UT,0.6290348356024709
Washington,2020-02-25,53,5,0,WA,0.8041306589226402
Wisconsin,2020-02-25,55,1,0,WI,0.08917702306898323
Arizona,2020-02-26,4,1,0,AZ,0.9022972928639955
California,2020-02-26,6,26,0,CA,0.4071232301857659
Illinois,2020-02-26,17,2,0,IL,0.7972926380390865
Massachusetts,2020-02-26,25,1,0,MA,0.15197079034055117
Nebraska,2020-02-26,31,13,0,NE,0.5822797825972471
Texas,2020-02-26,48,10,0,TX,0.18511892044173883
Utah,2020-02-26,49,1,0,UT,0.6505550121427311
Washington,2020-02-26,53,5,0,WA,0.3530277193163428
Wisconsin,2020-02-26,55,1,0,WI,0.07662025235561098
Arizona,2020-02-27,4,1,0,AZ,0.8576007897462885
California,2020-02-27,6,26,0,CA,0.5112004771162724
Illinois,2020-02-27,17,2,0,IL,0.9226435937672477
Massachusetts,2020-02-27,25,1,0,MA,0.9523762489069378
Nebraska,2020-02-27,31,13,0,NE,0.3889455766789409
Texas,2020-02-27,48,10,0,TX,0.4850345973890282
Utah,2020-02-27,49,1,0,UT,0.34034258287555275
Washington,2020-02-27,53,5,0,WA,0.3515290184130987
Wisconsin,2020-02-27,55,1,0,WI,0.7274705209173649
Arizona,2020-02-28,4,1,0,AZ,0.12342738114271623
California,2020-02-28,6,27,0,CA,0.3707478688001007
Illinois,2020-02-28,17,2,0,IL,0.8462100357703245
Massachusetts,2020-02-28,25,1,0,MA,0.8470920448885075
Nebraska,2020-02-28,31,13,0,NE,0.10406758270046401
Oregon,2020-02-28,41,1,0,OR,0.5493066653641906
Texas,2020-02-28,48,11,0,TX,0.6977186159478875
Utah,2020-02-28,49,1,0,UT,0.43432423859857927
Washington,2020-02-28,53,7,0,WA,0.42162670758584353
Wisconsin,2020-02-28,55,1,0,WI,0.5988148755980965
Arizona,2020-02-29,4,1,0,AZ,0.5653687119205598
California,2020-02-29,6,28,0,CA,0.7799963031984343
Illinois,2020-02-29,17,3,0,IL,0.6674036001884021
Massachusetts,2020-02-29,25,1,0,MA,0.08864417512034772
Nebraska,2020-02-29,31,13,0,NE,0.735025561781441
Oregon,2020-02-29,41,1,0,OR,0.2150052359030712
Texas,2020-02-29,48,11,0,TX,0.05025861839102008
Utah,2020-02-29,49,1,0,UT,0.7202997255941683
Washington,2020-02-29,53,10,1,WA,0.1445846033653585
Wisconsin,2020-02-29,55,1,0,WI,0.9265602999926713
Arizona,2020-03-01,4,1,0,AZ,0.7502582503982645
California,2020-03-01,6,33,0,CA,0.5489952202698637
Florida,2020-03-01,12,2,0,FL,0.5858833553555349
Illinois,2020-03-01,17,3,0,IL,0.07366302836793859
Massachusetts,2020-03-01,25,1,0,MA,0.8082633739270765
Nebraska,2020-03-01,31,13,0,NE,0.7382884916477751
New York,2020-03-01,36,1,0,NY,0.8056840417218555
